Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
10000000001	Acesse a Shopee por intermédio do nosso Link de Afiliado 		1	a	1	1	colecao	https://s.shopee.com.br/5VPQAX9acB
10000000002	Conheça Nossa Seleção de Produtos do Mercado Livre		1	a	1	1	colecao	https://mercadolivre.com/sec/24D3RGC
10000000003	Acesse a Amazon por intermédio do nosso Link de Afiliado 		1	a	1	1	coleção	https://amzn.to/47dhhOz
19299606950	Kit 10/25/50/100 Saquinho Organza Saco Para Lembrancinhas Casamento Decoração Presente Aniversário	9,80	3mil+	LUMVIC ECOM VARIEDADES	18%	R$1,76	https://shopee.com.br/product/1484455738/19299606950	https://s.shopee.com.br/1gCidJa3j0
22694706641	Porta-Joias Personalizado a Laser | Nome, Foto, Frase | Presente Especial | 10x10cm	24,99	103	Graphos Gráfica	3%	R$0,75	https://shopee.com.br/product/256828417/22694706641	https://s.shopee.com.br/4Auo9cBBBH
22794456875	Porta Joias Personalizado Com Nome Madrinhas De Casamento Presente	28,45	1mil+	Artstamp Personalizados	3%	R$0,82	https://shopee.com.br/product/1593812921/22794456875	https://s.shopee.com.br/4VXeYE9uVJ
23094141939	Porta Jóias Com Zíper Estojo Porta Personalizado	31,90	168	Central Brindes Personalizados	13%	R$4,15	https://shopee.com.br/product/1526688124/23094141939	https://s.shopee.com.br/40bNxJBoWE
22297311780	KIT 12 pcs Porta Jóias Portátil  Caixinha Bolsa de Armazenamento Colar Brincos Anéis	91,99	20mil+	LOJA de Atacado 1	7%	R$6,30	https://shopee.com.br/product/422066279/22297311780	https://s.shopee.com.br/70Exn6J4Fo
20198076950	KIT 6 Peças Organizador Porta Joias Portátil Viagem Armazenamento de Brinco Colar	49,99	4mil+	New Show Oficial	3%	R$0,60	https://shopee.com.br/product/1430626556/20198076950	https://s.shopee.com.br/7AYNzPIQur
MLB62757251	Massageador Profissional Fisioterapia Relaxamento Tensão Crônica Silencioso Pistola Massageadora	247,90	1	a	1	1	https://www.mercadolivre.com.br/massageador-de-tecido-profundo-eletrico-portatil-alivio-dor-muscular-costas-pernas-lombar-pos-treino-profissional-fisioterapia-relaxamento-tenso-crnica-silencioso-pistola-massageadora/p/MLB62757251#reco_item_pos=0&reco_backend=item_decorator&reco_backend_type=function&reco_client=home_items-decorator-legacy&reco_id=b93ff08f-b602-4ebb-918c-174a8eec48ff&reco_model=&c_id=/home/navigation-recommendations-seed/element&c_uid=296d35cf-1fe2-4e99-a331-6418e6512596&da_id=navigation&da_position=0&id_origin=/home/dynamic_access&da_sort_algorithm=ranker	https://mercadolivre.com/sec/2SqXJnm
18697827315	Pó Mágico Tira Manchas De Roupas Coloridas E Brancas Poder O2 Pote De 1Kg	36,90	4mil+	Loja do Barbeiro Treze	13%	R$1,94	https://shopee.com.br/product/851943462/18697827315	https://s.shopee.com.br/8fMsUCXwRV
19297470323	Impermax Repelente Água Vidro 500ml Cristalizador De Vidros Para Brisa Boxs Janelas Espelhos Móveis	56,90	1mil+	Togmax	14%	R$3,71	https://shopee.com.br/product/988045411/19297470323	https://s.shopee.com.br/8zzisoWflb
49701924433	Kit 12 Limpadores Pastilha de Sabão para Máquina de Lavar	17,99	9mil+	Phils_ecom	20%	R$1,40	https://shopee.com.br/product/504894896/49701924433	https://s.shopee.com.br/807BgyaTn
