Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
18598354285	Kit Maleta Maquiagem completo Profissional Com Espelho e Luz Led e paleta de maquiagem	90,14	34	TW1 TECH LTDA	10%	R$8,49	https://shopee.com.br/product/1630928956/18598354285	https://s.shopee.com.br/10wzCcs4B8
18897459506	Bolsa De Cosmético  Com Grande Capacidade Portátil Viagem Cosméticos Para Viagem 884/774/311/916	20,90	50mil+	BBQalegre	10%	R$1,59	https://shopee.com.br/product/739972532/18897459506	https://s.shopee.com.br/1BGPOvrQqB
23898657071	Depilador Eletrico Feminino Recarregável Removedor De Pelos Navalha Dupla	40,99	7mil+	máquinas shop	12%	R$3,36	https://shopee.com.br/product/1381918631/23898657071	https://s.shopee.com.br/BNsD5vEs1
23497647985	Limpador De Pincel Esponja Maquiagem Elétrico USB Automático Recarregável Lava Armazena Bivolt	28,99	5mil+	MISULI_BR	8%	R$2,32	https://shopee.com.br/product/378093609/23497647985	https://s.shopee.com.br/20pWOSoG9Q
22310437916	Lixador de Pé Elétrico - Esfoliador Tira Calos Pedicure Portátil  Lixa Elimina Calo Portátil Usb Pilha	19,99	20mil+	DAFUSHOP Official Store	9%	R$1,53	https://shopee.com.br/product/378486098/22310437916	https://s.shopee.com.br/2B8walncoT
21797681952	Kit Terapia Capilar Óleo de Coco + Rícino + Alecrim Natuhair 60ml	28,45	50mil+	Zares Cosméticos	23%	R$7,34	https://shopee.com.br/product/844782615/21797681952	https://s.shopee.com.br/2LSMn4mzTW
20797676896	Batom Cremoso Creamy Matte GLASS BY RUBY ROSE	19,90	5mil+	Espaço da Blz	23%	R$4,12	https://shopee.com.br/product/722975682/20797676896	https://s.shopee.com.br/2VlmzNmM8Z
22893910758	Base Líquida Bruna Tavares BT Skin Acabamento Aveludado 40 ml	26,00	50mil+	WH_SHOP	3%	R$0,78	https://shopee.com.br/product/1377341349/22893910758	https://s.shopee.com.br/1LZpbEqnVM
9347943263	Kit 10 peças pincel kabuki precisão  Conjunto de Maquiagem para Sombra Delineador Lábios Pó Base	12,99	80mil+	yaya.br	7%	R$0,84	https://shopee.com.br/product/430146238/9347943263	https://s.shopee.com.br/1gCfzqpWpS
23594279245	Lixador de Pé Elétrico - Esfoliador Tira Calos Pedicure Portátil com Removedor Recarregável USB	19,99	10mil+	YC SHOPPING	13%	R$2,60	https://shopee.com.br/product/1530365385/23594279245	https://s.shopee.com.br/1qW6C9otUV
21699850579	KIT NIVEA Loção Hidratante Milk Pele Seca a Extrasseca 400ml 2 Unidades BBB 26	39,9	10mil+	NIVEA OFICIAL	15%	R$5,99	https://shopee.com.br/product/502619181/21699850579	https://s.shopee.com.br/8pfqX1OFHs
23993167873	Paleta de Sombras Mystic Glow 18 Cores RUBY ROSE	28,9	5mil+	Espaço da Blz	23%	R$6,65	https://shopee.com.br/product/722975682/23993167873	https://s.shopee.com.br/8fMQKiOscr
20199357121	KIT COMPLETO MASCARA + SHAMPOO + CONDICIONADOR  KARSEELL ORIGINAL MACA POWER COLLAGEN ORIGINAL IMPORTADO Karseell .!!!!!	50,00	10mil+	KASEEN COSMETICS OFICIAL	23%	R$11,50	https://shopee.com.br/product/300863563/20199357121	https://s.shopee.com.br/9AIgvdMyby
21799497981	Escova Rotativa Elétrica Secador de cabelo Professinal 2 em 1	83,50	10mil+	Arara.store	11%	R$9,02	https://shopee.com.br/product/1005980154/21799497981	https://s.shopee.com.br/8zzGjKNbwx
23793082548	Óleo Elseve Extraordinário Paris 100ml	46,69	40mil+	Droga Clara	18%	R$8,40	https://shopee.com.br/product/1045085918/23793082548	https://s.shopee.com.br/8AQ9jnQmdo
22499255714	Base Mate Cobre Tudo 30ml Boca / Rosa Beauty	17,5	6mil+	AIM Cosméticos	3%	R$0,53	https://shopee.com.br/product/1659347300/22499255714	https://s.shopee.com.br/806jXURPyn
18598043780	Kit 3 Necessaire Maquiagem Transparente WashBag A Prova De Água  332	29,00	10mil+	atacado loja	10%	R$2,60	https://shopee.com.br/product/1074623551/18598043780	https://s.shopee.com.br/8V308PPVxu
20178281640	Kit Giovanna Baby Blue, Loção Hidratante, Desodorante Aerosol, Body Splash, Deo Colônia e sabonete	69,98	674	Fina Sintonia oficial	18%	R$8,03	https://shopee.com.br/product/251254083/20178281640	https://s.shopee.com.br/8KjZw6Q9It
19099260299	Secador de Cabelo 110v Profissional 3200w - Voltagem 110v--6881	54,99	4mil+	Bazar das Flores Artificiais	13%	R$6,50	https://shopee.com.br/product/818350485/19099260299	https://s.shopee.com.br/AABE7TJAaG
4696505626	NIVEA SUN Protetor Solar Protect & Hidrata FPS 30 400ml BBB 26	72,9	856	NIVEA OFICIAL	73%	R$53,22	https://shopee.com.br/product/502619181/4696505626	https://s.shopee.com.br/9zrnvAJnvF
23297443289	Motorzinho Para Lixar Calos e Rachaduras Ideal Para Pedicures	42,00	40mil+	XUXU BELEZA Oficial	3%	R$1,08	https://shopee.com.br/product/341061019/23297443289	https://s.shopee.com.br/AUo4W5HtuM
